实测ID,H,D,AGB,Tree_ID
15,8.1,23.5,78.38676803,12
1,9.9,26.7,109.9667645,21
4,11,27.5,124.2417737,23
75,9.6,25.9,102.7364149,33
16,11.2,25.9,115.1925426,36
3,10.2,25.6,105.6228538,37
82,10.7,24.3,101.2935124,40
83,9.7,29,122.4516333,41
81,9,22.7,80.51530395,42
84,8.5,20.9,68.26173975,43
12,9.7,26.5,107.1107536,46
86,8.9,26.1,98.23680826,49
8,10.1,21.3,79.80092627,53
73,8.3,24,82.35359615,55
76,9.8,16.3,52.4528406,59
7,9.6,19.5,67.40703717,62
74,9.4,23.9,89.7667815,66
11,9.6,23.2,87.24396389,74
78,9.5,26.8,107.244443,77
80,8.2,24,81.61584885,85
77,10.7,23.2,94.56072651,95
10,9.3,32.3,139.2774604,103
79,8.9,15,43.16346906,109
88,10.2,22.9,89.51356569,119
9,9,25.3,94.58074054,121
90,10.5,21.4,82.70858614,132
72,8,26,90.24573857,134
2,8.6,21.6,72.30884802,136
13,6.7,21,57.61488017,150
89,6.9,19.3,51.94978912,151
