Wavelength_nm,w_mean,w_std,w_ci_low,w_ci_high
390,0.008747688786484414,0.020132023194710212,0.0,0.08353414177738099
394,0.012028909787399046,0.02180945472014394,0.0,0.09446324872819835
398,0.014095475180024287,0.020206821833329735,0.0,0.08934641596967142
402,0.020492271803360603,0.02429066688528429,0.0,0.1044922089108229
406,0.027283153748633472,0.0255458140828586,0.0,0.11208020011182047
410,0.0300630790937073,0.025240084318019516,0.0,0.11018969389193657
414,0.034060992960077856,0.025948862425558706,0.0,0.11663652405344117
418,0.03810642728447589,0.02767938829667155,0.0,0.12533989458916722
422,0.039204119712131696,0.02594966697254277,0.0,0.12516555838702206
426,0.044743200799964744,0.02740617385866717,0.0,0.13252919166721153
430,0.049171972131181435,0.027494696896127026,0.0,0.14128938224198256
434,0.055192274259014164,0.0269437266524883,0.0017169610506162984,0.13742849650030076
438,0.06023430367023745,0.02682800123064819,0.012808896746234909,0.1464375876078618
442,0.06183620479822943,0.02442938853211526,0.012014949067297094,0.1320391878786623
446,0.0682815356495801,0.02706983639023509,0.019855824745265867,0.15004732189115716
450,0.07223389731888775,0.02640367972914132,0.020582830107672572,0.14752423801512465
454,0.08818033602236063,0.027554090808314165,0.03788960340504102,0.16920743613366349
458,0.10248481473851671,0.02717004738553813,0.056667763069981336,0.1817712202529155
462,0.10731089625042865,0.026321813849925997,0.05650164940629785,0.18205464270860539
466,0.11161603028326685,0.02723711152042031,0.06038046600987088,0.1907077925183431
470,0.11158718804547706,0.024571240308201483,0.06396609208261153,0.17597825558796235
474,0.11521322843975212,0.02602267561322828,0.06564915299014018,0.19103345381976702
478,0.11805787927657103,0.028129952849835802,0.06799626347594542,0.200069175770607
482,0.11856472309803964,0.026651159717795102,0.07230023428556918,0.20138451818527445
486,0.11963554570843919,0.02797368739052293,0.0680684374895541,0.2046974940376333
490,0.121412709720314,0.028898971533717233,0.06864091029622525,0.20467644301318905
494,0.12332110069852001,0.02834585900282526,0.07109993913667832,0.2084071358998623
498,0.1267322208422054,0.02781182189903343,0.07959325147694582,0.20704690782135005
502,0.1297839166819964,0.027406454728322337,0.07842927049936585,0.20739704578199022
506,0.13434003471224598,0.028411398082190727,0.08636904792801287,0.2156841082665976
510,0.13880251442141867,0.027209931270257403,0.08862860821550554,0.213465968238772
514,0.15304233438416703,0.028746106611325154,0.10359804599645202,0.2352497509954256
518,0.16542065661012229,0.029781739804084523,0.11727607518353532,0.24811436547453106
522,0.17407778008823266,0.02844159170777482,0.12405513103655405,0.2516365484336872
526,0.18465265408567705,0.030329312293039527,0.1309643658160196,0.2669355296846828
530,0.191968227990561,0.02784483391840423,0.13826715772384007,0.26040616116032417
534,0.19756701270956614,0.028122458902974243,0.14744819091331732,0.2715320235772265
538,0.20407397572657512,0.029834899837386058,0.1502408374613215,0.28410684315259155
542,0.20637589835877937,0.028799221561591995,0.1546228831953304,0.28202987299071614
546,0.20658882475325321,0.027186959148818145,0.15909884028195032,0.27571017694416616
550,0.20791758052049672,0.029273142794274332,0.15707799231909084,0.2832525748716257
554,0.21202471015980456,0.028958704921822596,0.15842815052060824,0.2883331946438125
558,0.21608923954167109,0.029187316268354982,0.16534469619602604,0.2942315335501415
562,0.2120657694981586,0.03074127029063455,0.16405373132722223,0.294468669509587
566,0.20559239980823335,0.02725482871713266,0.15797884410971172,0.2703507776789964
570,0.19793222746864605,0.029044089842899176,0.1459670061695701,0.27188567158052873
