Wavelength_nm,w_mean,w_std,w_ci_low,w_ci_high
390,0.013789160346594857,0.04063911470668367,0.0,0.12068335068850175
394,0.016725929318183487,0.04201480781041598,0.0,0.12780198238717014
398,0.02036306244776155,0.042419707365457804,0.0,0.13256785603327234
402,0.025745791858307495,0.0446533000747889,0.0,0.14039024779393547
406,0.03301308657539661,0.04739709270045177,0.0,0.15690994181892828
410,0.037498261882908814,0.04878569578906608,0.0,0.16595054138388252
414,0.04174285238704807,0.049782014535444764,0.0,0.18035134187417617
418,0.046622533573336476,0.05254729207880389,0.0,0.19279259544332278
422,0.04936080807068464,0.053211338432627125,0.0,0.1995450917264182
426,0.053574044107562196,0.054958436369134986,0.0,0.20948032407115272
430,0.0569399747319735,0.05536401296897055,0.0,0.2117123578703822
434,0.06253347941483912,0.056792091583205,0.0,0.22020155706838632
438,0.06805021410794891,0.058290953826383336,0.0,0.2278727337532078
442,0.07265706010413203,0.06015594917180363,0.0,0.23397856169832187
446,0.07782996616019906,0.060746201728637796,0.0,0.24496518764919625
450,0.08570183069866626,0.06289874542596528,0.0,0.2564856046471507
454,0.10142218130775066,0.06621452167577964,0.009839027374012106,0.2784886061794553
458,0.11590138916182581,0.06923274124631836,0.024038139724122942,0.3003870391298867
462,0.12201043192976856,0.07062657511712252,0.030250751129300063,0.30669079085210543
466,0.12403258472538829,0.07111581092546518,0.03191918406220313,0.310746412351769
470,0.12489581757112644,0.07127250630456317,0.0325276832244329,0.31168015481711836
474,0.1278498969057934,0.07172291514706308,0.03618962049221196,0.3156781356239404
478,0.13089707855262472,0.07245712227021939,0.03811238884206869,0.3209173956339924
482,0.13114782439964862,0.07270326286783832,0.03939873212385511,0.3206612446235656
486,0.13158553532021858,0.07260087697952897,0.03892132544498611,0.3224709060249222
490,0.13267016612441335,0.07317950776920813,0.040152230359397995,0.3221273602730376
494,0.13561956791588106,0.07357006694254432,0.04247186287709156,0.3258079675673593
498,0.13818944720193008,0.07421860774290417,0.04599881804901424,0.3333901994774024
502,0.14099863310213362,0.07474476198378799,0.048830076444062606,0.3354802556100403
506,0.1448519905704065,0.07606062057783702,0.050845637275149076,0.3406038451770804
510,0.15236447563993066,0.0772079334047386,0.056662693395168065,0.3491966014615588
514,0.1656221398881578,0.0794424101399931,0.06806739895915154,0.365420552202082
518,0.17848907761513133,0.08110939846868803,0.07851729872726886,0.38421042972050923
522,0.18993659853895722,0.08358484944119488,0.08695848462814167,0.39930934995376627
526,0.19961914915196324,0.08468798103176538,0.09637866553419844,0.41299865567529664
530,0.2079439196390529,0.08610723067921384,0.10319287632728447,0.42591795402585436
534,0.2141928969307052,0.08693555989875569,0.10803173670508301,0.4313388320639036
538,0.22063989583786353,0.08795083136892891,0.11361039392915136,0.44153233721402874
542,0.2229131824241162,0.08847944744910655,0.11556223482076408,0.4437849663258967
546,0.2223564007331816,0.08823333416892078,0.11369415781127339,0.44096715344798476
550,0.22460081022759631,0.08904408588416317,0.1151000527056262,0.44591188139315335
554,0.22813763084862188,0.08964294805151919,0.1167787553951087,0.45062845486771497
558,0.2314421549969136,0.08997034884013559,0.12062859309634977,0.45468806416245494
562,0.22657414666462675,0.08933077228020732,0.11637313925276897,0.4486949408789758
566,0.21960670965304036,0.08871149053716322,0.10931357868832155,0.4413912272296066
570,0.21221846616091955,0.08782214604186507,0.10326391081911131,0.43147885751242204
574,0.2061540870918905,0.08645429824956134,0.09809638581137765,0.42141026494653117
578,0.2009072236010406,0.08584864940119133,0.09269724930324542,0.4125058790716449
582,0.19882397260953222,0.08506146280763766,0.09214756082463756,0.41154335660055924
586,0.1972075146668714,0.08522705027535141,0.09135452778298157,0.4096962301348854
590,0.19648878554457694,0.08495111645931036,0.09213810377025429,0.40948691705091517
594,0.19706547569273558,0.08551403300939918,0.0914385489341538,0.41062497424655786
598,0.1978860069754663,0.08546431190933916,0.09287703184617134,0.41276164241541824
602,0.19894515201296686,0.08575479558656837,0.09357529760977441,0.41427075183832224
606,0.19962035013428442,0.08586993688540197,0.09319670666614786,0.416020397429455
610,0.19924219946554256,0.08597244364787447,0.09426238785331734,0.4139006849184699
614,0.19840373822212032,0.08627575583409276,0.09244222589049174,0.4124385161668669
618,0.19741543900327008,0.08584146114759177,0.09158854680332555,0.4106161397453173
622,0.19767336718869283,0.08597374417087747,0.09075761981256639,0.4107094682048559
626,0.19861906859562878,0.08613958902343981,0.09163294915890977,0.41251425360359756
630,0.19938705811818072,0.08596212440354263,0.09413051480651959,0.4127731565730869
634,0.19864063309586974,0.08591068593320585,0.0924292239216297,0.41186807712495843
638,0.1976218405355648,0.08594911415220205,0.09275887363330758,0.4102883923025083
642,0.1938403494311687,0.0852601589443346,0.08887153135684704,0.4065012026646044
646,0.18976493288264143,0.08520003092280157,0.08621777654474286,0.4010952118759458
650,0.18594859924222173,0.08432702512574362,0.0824885081468241,0.39449511962344913
654,0.18068430278270622,0.08372703971061941,0.07792778080709079,0.38908954733132844
658,0.17561040650091378,0.08225320790240605,0.07539160236148562,0.3789729881313112
662,0.17156404303853204,0.08188925095167068,0.07078255602208347,0.3743814365306876
666,0.1677042326026948,0.08103031239810933,0.06913693737251306,0.3700994706539547
670,0.164707631027027,0.08054033670519156,0.06782754817918685,0.3681082580836897
674,0.17692794808796877,0.0825035461008425,0.07753391947376367,0.38519051673748933
678,0.1886227217438662,0.0842324559374954,0.08665022543278834,0.3983802462551406
682,0.20018747789494454,0.08621795239998183,0.09474377114749784,0.41265537939339086
686,0.2153652078225739,0.08883307889165885,0.10881643409180221,0.4351473214282991
690,0.2358603384381635,0.09166259900184898,0.12564619081134173,0.4599436573140882
694,0.27283796939978494,0.0959987450569184,0.15213495145074366,0.5023318218131181
698,0.3118510224222047,0.09994528622588432,0.1790083256258102,0.5459731823525354
702,0.36368034275802713,0.1037971352309196,0.21641667114581156,0.6026976710494261
706,0.41831195353756134,0.1063135624935248,0.25845562552535284,0.6595883391574779
710,0.4711093062900194,0.10712885126171916,0.30444102139246976,0.7091841735133675
714,0.5265389455244011,0.10636013964120203,0.352983327477253,0.753278567246966
718,0.5881158056993516,0.1035816028985926,0.4097832205045873,0.7994127849914557
722,0.6484920357685409,0.09810932565036692,0.47178748512088126,0.8406483013202418
726,0.6990745066805923,0.0910665605713908,0.5288639445361828,0.8723597418738854
730,0.7413499606331165,0.08416010077835909,0.57879167313992,0.8957064791432943
734,0.7773539441029067,0.07763302522432586,0.6237278208192735,0.914571985406963
738,0.808818190109024,0.07102313709409891,0.6649875237629074,0.9290879578194621
742,0.8311715300605068,0.06603467700574218,0.6956208597411139,0.9400291340357009
746,0.8477690050008685,0.061954448869275765,0.7191693077703352,0.9470037806696104
750,0.8575209750583346,0.059195795198488894,0.7338258273964143,0.9518481558511533
754,0.8617105953624417,0.05762188509305407,0.7420097985114055,0.9534783903981906
758,0.8655886938537501,0.05627935847819911,0.7491011925680459,0.9546089146343554
762,0.8727073002043877,0.05459013848162593,0.7565872066294863,0.9581062216131183
766,0.8803784207357328,0.052752310615153994,0.7639781289688394,0.9616723167704061
770,0.882291107177058,0.052296284194187165,0.7689211454898156,0.9626338938839814
774,0.8826434688887029,0.05208445076193339,0.7718495895938111,0.9626664406676853
778,0.886616488474797,0.05053124977027389,0.7777926224158659,0.9643869674832622
782,0.8914119012951727,0.04877876973245892,0.7863849837658161,0.96665749189546
786,0.8961413557295828,0.04712425633612642,0.7941724472370353,0.9682620470521518
790,0.8989954222383393,0.04611135261078509,0.7997032441695717,0.9690119107870188
794,0.9002844961567456,0.0456084250296386,0.8004555772819092,0.9695448366795124
798,0.9017116056716831,0.04504225877168035,0.8021734961391646,0.9703416684112365
802,0.9031733804561582,0.044323839962851413,0.805089660526849,0.9710080298332879
806,0.9050667461726452,0.04354543767313804,0.8102616075084185,0.9715214803789574
810,0.9074184114822642,0.04263532093110849,0.8150279921032003,0.9726516741094823
814,0.9101621012890545,0.041551361035719686,0.8186034587805404,0.9735725555291879
818,0.9126247830968826,0.04050628436015412,0.8229052038948719,0.9747605122870274
822,0.9148401761612975,0.03985588859294669,0.8262394725096134,0.9756691024055036
