New_Tree_ID,AGB,ave_b_NDVI,ave_b_ND800_680,ave_b_mND_705,ave_b_DD,ave_b_mSR_705,ave_b_DATT,ave_b_Chl_Rred_edge,ave_b_TBI_13,ave_b_TBI_24,ave_b_TBI_25
1,78.38676803,0.8205976361257251,0.7820371943626746,0.5533262873853544,0.059221785,3.477541304509833,14.842033836673012,1.1749919447441237,1.2748472306497332,0.29069232026536923,0.7093076773879337
2,109.9667645,0.865243255258396,0.8312279621056686,0.5895941291619533,0.063260025,3.8732246286986274,15.30588067199832,1.3253701640195432,0.9121925404023554,0.3246234335052399,0.6753765638346045
3,124.2417737,0.8936244031147347,0.8572255052990372,0.5993486897942978,0.051669976000000006,3.9918718494428833,16.514469516258732,1.3809646462685494,0.6930494637363789,0.36435326086767916,0.6356467362645087
4,102.7364149,0.8532103563902862,0.8186594930571127,0.5897734171021985,0.06913733700000002,3.875354453115705,14.218373986093097,1.3389591362096032,0.7970166743736493,0.3405651372850618,0.6594348604331415
5,115.1925426,0.8607190436878686,0.8228545304879122,0.5945082049527626,0.053602538999999984,3.9322822838871003,19.167624270412084,1.3528774043265481,1.1328004343155318,0.2927863513097587,0.7072136457945185
6,105.6228538,0.8514440258062194,0.8207765949387953,0.6045237584884856,0.080084784,4.057193803089581,13.314748439875453,1.388432667089384,1.3851344615758225,0.27811796099125097,0.7218820363884221
7,101.2935124,0.8835047152320189,0.8557969455366974,0.640702518330783,0.07770093,4.566418077783251,13.89538621234278,1.5340559524001782,1.9756763777627218,0.20781155742960622,0.7921884395454415
8,122.4516333,0.9089307994483409,0.8834978973235923,0.6361141564574632,0.064837631,4.496229194748441,15.647374702401928,1.4957707681263264,1.4908848370325787,0.2636548902501934,0.7363451069644626
9,80.51530395,0.9083021353074133,0.882037589357057,0.6426697760675285,0.06023171899999998,4.597063619281485,17.40269435947736,1.5562935227723842,1.1172035135885936,0.28579173860652707,0.7142082579982882
10,68.26173975,0.8438010758019747,0.8067507227237863,0.5777658815174023,0.060466869000000006,3.736708641110888,16.094465394006,1.2826244579635184,1.3729266239382845,0.2707863026847953,0.7292136952532351
11,107.1107536,0.8693414791097961,0.8433581112066684,0.607916465181574,0.077064482,4.100953802336285,12.265941524970403,1.3658332078239366,2.012014187795934,0.21507185893105774,0.7849281378841414
12,98.23680826,0.8853652083311214,0.8585427683563756,0.6091519291109259,0.06133367299999999,4.117077826738577,15.244102475734874,1.3864373458293162,1.4098522039618773,0.2665751426995605,0.7334248534610678
13,79.80092627,0.8705599745921846,0.8290722501252059,0.5830765520493126,0.043401692000000006,3.7970436930734137,23.600794330452718,1.324036166455056,1.0601391791228836,0.3016863349856145,0.6983136625227215
14,82.35359615,0.8923768221809081,0.8522625706836096,0.5945851291076585,0.04828245799999999,3.933218143301841,20.30505167936335,1.390588998401908,0.6883090480199252,0.3597447732603341,0.6402552245502834
15,52.4528406,0.8734538321987814,0.8386065863037506,0.5792436386545134,0.050727269000000005,3.7533446452464223,16.203835742650025,1.320657925256568,0.8211148638551756,0.32847762984227014,0.6715223671078506
