New_Tree_ID,AGB,sun_NDVI,sun_ND800_680,sun_mND_705,sun_DD,sun_mSR_705,sun_DATT,sun_Chl_Rred_edge,sun_TBI_13,sun_TBI_24,sun_TBI_25
1,78.38676803,0.7890748321623817,0.7480575279623207,0.5214154552923546,0.05657082199999999,3.1789899409074285,12.647649170088915,1.0779854547914312,1.1499961526777507,0.30600672508402027,0.693993273119392
2,109.9667645,0.8276001942237161,0.793877486317132,0.5601938197540316,0.069319566,3.5474576938375857,11.493587040406975,1.201468393261175,1.0379017108692403,0.31895268173981894,0.6810473162150957
3,124.2417737,0.8511545054760861,0.8245626118674148,0.5793255522393885,0.073110877,3.7542702171041107,9.686921360071414,1.2468312415303986,1.334569537672708,0.2878561780924904,0.7121438194391474
4,102.7364149,0.8200694637784702,0.7852819884270319,0.5614461271694365,0.070070405,3.5604431337635196,11.704876270890257,1.215932509560707,1.0257053129446692,0.31767651763738186,0.6823234806735605
5,115.1925426,0.8090324811287734,0.7774760324511435,0.5676998989892357,0.07687481899999998,3.6264157550519562,11.132075889797804,1.2250373519023454,1.7142500119712547,0.25145331926727155,0.7485466783090441
6,105.6228538,0.8434529968124659,0.8131388242662644,0.5927085838506454,0.077999987,3.9104889489141748,11.763330733834746,1.3218127092112577,1.2574055330324387,0.29546004883949417,0.7045399491154498
7,101.2935124,0.8498552805831969,0.824274704911505,0.6116481537277813,0.087868433,4.149969073701323,10.28317839989741,1.3863180598600593,2.0889597384162735,0.22243531163627903,0.7775646860981726
8,122.4516333,0.8708860416646611,0.848299617779796,0.6082091753566183,0.08903211200000001,4.104764768069546,9.637784841213694,1.352960283069196,2.1794037698577835,0.2284552850884647,0.7715447126319107
9,80.51530395,0.8497087140370339,0.8249729618259747,0.595996766242895,0.08185161299999999,3.9504554195042973,10.745875201218372,1.3400520621215244,1.889034638180831,0.24319917684660686,0.7568008203956051
10,68.26173975,0.8263683605937641,0.790403966102574,0.5526322869764316,0.06157795899999999,3.4705953062876627,12.341838883522973,1.1753842719217968,1.3250562797062577,0.28408633295677366,0.7159136653434615
11,107.1107536,0.8459766440996468,0.8197042528977685,0.5816141748712056,0.079071813,3.780276668220285,10.013205006850022,1.2526813767733311,1.7576250324169551,0.2514433304335739,0.7485566673645397
12,98.23680826,0.8448593938920184,0.8191793849227548,0.574887079390762,0.07878643099999999,3.704632348950248,9.666113113731587,1.2270538368423383,1.868593682709215,0.23564906547241501,0.764350932057297
13,79.80092627,0.8164766327583736,0.7797864721640192,0.5537891397409143,0.061345422000000004,3.482185836540852,13.73280089141995,1.1796443841491646,1.2857888408296212,0.28892921855854603,0.7110707794137664
14,82.35359615,0.8457311842797082,0.8137600607768494,0.5708098813084371,0.06967742299999999,3.659939525491292,11.4447923416349,1.2452998807616362,1.0352966696999115,0.31200544504987454,0.6879945533330823
15,52.4528406,0.8250306973383459,0.7935783398643479,0.543239019394285,0.061566221000000004,3.3786577293046354,10.512347594735704,1.142696452134024,1.0327180292814262,0.31723133194954317,0.6827686659991551
16,67.40703717,0.8546049085036177,0.8264750413959234,0.5922512383448606,0.071770907,3.904981169509281,12.60522313246191,1.3326414428724909,1.1097312766233176,0.31247409533246934,0.6875259023419608
17,89.7667815,0.850347538613038,0.819996785282418,0.5783643776500895,0.074709476,3.7434322245929446,11.284564112075605,1.2541842867833255,1.335226889317545,0.2880845199291494,0.7119154781655609
18,87.24396389,0.8271498870310059,0.7893521437277464,0.5509379601781031,0.056521761000000004,3.4537275933600053,13.417460161964945,1.1718698353546158,1.4542060780178407,0.2723852132073425,0.7276147852408446
19,107.244443,0.8423561695713528,0.8064107664542862,0.5590796219037957,0.060553382,3.535966349570448,13.398196322758029,1.2345791143743607,0.9586631141966083,0.32399255699951196,0.6760074412038786
20,81.61584885,0.8221101562655688,0.785083202457036,0.561650984441292,0.06702058699999998,3.562574403039866,14.356157467316963,1.2451121788503055,0.9769993457469506,0.3272955587183066,0.6727044394576769
21,94.56072651,0.8539792640145153,0.8236553815161878,0.5680919210420499,0.064912525,3.6306149279886415,11.501960495231128,1.2532246349192078,1.1409947708874222,0.3029678582680182,0.6970321392855805
22,139.2774604,0.8517374744525845,0.8278362638380203,0.6227213182257161,0.096307294,4.301121146358345,11.038736549036186,1.4586164082965634,2.7814215529119206,0.19228688318618253,0.8077131142642208
23,43.16346906,0.8563469081674872,0.8227073076782482,0.5876243553732071,0.07018048300000002,3.8499469449004677,13.472579163656718,1.324333484033089,1.0284571488126593,0.32146925357284145,0.6785307445891029
24,89.51356569,0.8428937259907181,0.8086418490424675,0.5538612891488903,0.06526709600000001,3.482910694558421,11.881815446232524,1.1873558252111818,1.1119247666073735,0.3039883679102623,0.6960116302332562
25,94.58074054,0.845287173933693,0.8131930990866572,0.5721226181107306,0.06620673100000002,3.674236317644618,12.280042995153789,1.2528246478619498,1.2387226819681887,0.2953369454154603,0.704663052829936
26,82.70858614,0.8148229022698588,0.7753174251698363,0.5171035053950391,0.051482521999999996,3.1416742935808353,11.827801701298366,1.062076054482438,0.8706190338276137,0.3324127307578988,0.6675872676736596
