New_Tree_ID,AGB,w_NDVI,w_ND800_680,w_mND_705,w_DD,w_mSR_705,w_DATT,w_Chl_Rred_edge,w_TBI_13,w_TBI_24,w_TBI_25
1,78.38676803,0.6166634940443427,0.5748280849695143,0.33865387273055725,0.02464094900000005,2.024135044080347,1.7996171368536276,0.5129828467229245,0.7338745070346392,0.3532598785887884,0.6467401199891828
2,109.9667645,0.7049527708574315,0.6644344023299802,0.4006056528014754,0.08337629499999993,2.336701470495215,1.8958650633045346,0.6371093175970242,0.6741500418814216,0.36247834654562316,0.637521652086674
3,124.2417737,0.7254992436410767,0.6912125771773501,0.40163775412484837,0.06223222099999995,2.3424568703862767,1.5669644214879346,0.6227032675633666,0.7566960403641876,0.3522598399754746,0.6477401585992101
4,102.7364149,0.663192421339105,0.6248058861195877,0.3724371394003436,0.04978672200000006,2.1869317406983275,1.7051766025787023,0.5685108764324034,0.6776061706996498,0.36168851817737435,0.6383114802391758
5,115.1925426,0.5833270364298824,0.5404583830061341,0.31368150790576976,-0.013122800999999962,1.914098953758237,1.584397897478218,0.4631649097773045,0.7844273574464932,0.3445852338749967,0.6554147642775774
6,105.6228538,0.663208859417225,0.6233615579789346,0.3614731743982823,0.027454284999999967,2.132209829796936,1.5673213111033337,0.5398310466372427,0.7627230324883415,0.34804554609890265,0.651954451730703
7,101.2935124,0.7311586504410867,0.697370383485851,0.44002353209148487,0.11166444400000006,2.571578654272485,1.7402600480933306,0.7045511776852289,0.9923657898280963,0.31711344276881837,0.6828865556416037
8,122.4516333,0.671379872459785,0.6342281346129931,0.3317496709674433,-0.029202103000000035,1.9928904077845886,1.2780088795743472,0.4768834552743806,0.8918427913000788,0.3339009769222267,0.6660990208418087
9,80.51530395,0.6297986815953296,0.5888966047210159,0.32059673353801577,-0.024699961999999936,1.9437597646187947,1.415624721327283,0.4676159476872237,0.7199227954251193,0.35517646343150155,0.644823534451048
10,68.26173975,0.668015841616263,0.6263694880521121,0.3600972847379618,0.03296213399999992,2.125475094937743,1.6782050990263508,0.5470089365440958,0.7907606921317776,0.342427381415075,0.6575726172174565
11,107.1107536,0.6703908686418725,0.6341323353619529,0.34757764617516634,-0.0010712280000000074,2.065498887379761,1.3898089402058256,0.5014127096451917,0.9714050273777719,0.32179088586952564,0.6782091116806722
12,98.23680826,0.6534273388144863,0.6160652078301918,0.3298220477011512,-0.01951303900000001,1.9842819998759595,1.3902790132127258,0.47737766233341494,0.8858476011524268,0.33141764305311233,0.668582354652905
13,79.80092627,0.6127616250483955,0.5636890072980435,0.3186799894596,-7.35540000000312e-05,1.9354781436212827,1.7144663474598112,0.48079543563657023,0.6218879619028449,0.36797015924867177,0.6320298394215437
14,82.35359615,0.7227453686931106,0.6818278564000835,0.4040231931475866,0.07674202299999996,2.355835288729742,1.8079741562779132,0.6388422638409095,0.6178667136906046,0.37057910227456986,0.6294208966839482
15,52.4528406,0.6072644048845703,0.5663980172468064,0.2964580267010107,-0.04995555400000001,1.842758606700005,1.3552167152773578,0.43150038340449415,0.6398644107067846,0.36692416834196845,0.6330758298651644
16,67.40703717,0.6129254507145055,0.5654866887475092,0.3027109647476603,-0.03503963399999993,1.8682510388871174,1.4150402556109227,0.45227902982748014,0.5567719479616041,0.3813048733535526,0.6186951248437781
17,89.7667815,0.6847512013049296,0.6438125760722371,0.3556537373139879,0.018008545999999986,2.1039211609729067,1.5450494540605397,0.5281265168514526,0.720746554621388,0.355493723014044,0.6445062753297528
18,87.24396389,0.7144069058677848,0.6691194698836733,0.4049813412840708,0.08429562600000007,2.3612391315472703,2.1132991040243705,0.6653332553153029,0.7756365285638973,0.34602874224157915,0.6539712569908667
19,107.244443,0.6096438649670485,0.5604835172751849,0.29446212883735345,-0.03780956399999999,1.8347167197116592,1.4634523144605083,0.43772111731336905,0.5487688651597808,0.3787862549898094,0.6212137433336842
20,81.61584885,0.6996480805952936,0.6532682196894929,0.4059151362625718,0.10821861100000008,2.3665223973336635,2.316689466095736,0.6774936039619768,0.5650461921993198,0.3789090248363773,0.6210909741344062
21,94.56072651,0.734426985184576,0.6916393167969322,0.3929222576043761,0.06818312799999998,2.2944709714094684,1.6831891433096902,0.6280013119645531,0.6229893553273658,0.3690439334970207,0.6309560651946713
22,139.2774604,0.6492917388346636,0.6131198451705857,0.35877468996632583,0.013912956999999948,2.1190284732146174,1.4749146008900926,0.5257547470940092,1.0418790964391114,0.31703563585848704,0.6829643616113896
23,43.16346906,0.7215613028584831,0.6735139956469305,0.3938441928274527,0.07571055799999993,2.2994817108719925,1.969697983908622,0.6315533361572137,0.48670292304226487,0.39688651817101067,0.6031134807815982
24,89.51356569,0.6647043397844907,0.6200690598020527,0.3293095391806302,-0.0063369640000001115,1.9820015589899334,1.5388537002518368,0.48390444691382273,0.6966845064502544,0.355725088477764,0.6442749096316158
25,94.58074054,0.7015366748019732,0.6593697849875874,0.3795829819537361,0.05217876099999999,2.223638200670086,1.7426754844631602,0.5900186192159704,0.706431849783961,0.3579261873208813,0.6420738115138755
26,82.70858614,0.5814693599012951,0.535759682757308,0.28114506975779074,-0.047551891999999985,1.782202521864368,1.526518582153962,0.41418998429627996,0.5302445723813525,0.38224690785425386,0.6177530908325267
27,90.24573857,0.6720714282878445,0.6255627436431547,0.36969500264649985,0.04665094400000003,2.173067020131513,1.75724204068722,0.5735780458788942,0.6547329979827217,0.3654556254754356,0.634544373113071
28,72.30884802,0.6996686125748953,0.6625341376873799,0.41269278323661557,0.09046523699999998,2.4053727633617696,1.9021305993816437,0.6598696844158702,0.5970808639175037,0.3771275587238479,0.6228724400705031
29,57.61488017,0.7136492426983747,0.6719048700094997,0.3827951603884214,0.05817064899999999,2.240415290626376,1.69939408214034,0.5922191267703745,0.7870100169396933,0.3451190856676546,0.6548809128399018
30,51.94978912,0.7388762034690061,0.6959957895961144,0.4205130102766367,0.09309724300000002,2.4513285632521233,2.0563284017562196,0.6958924525050145,0.6454263436597689,0.36967466708718233,0.6303253320569604
31,79.02019367,0.7883678066305052,0.7588654344056053,0.4598228234050842,0.14546759599999998,2.7024888986932267,1.9113939196629437,0.7562198252449115,0.4643997187220786,0.3950216806665636,0.6049783178103888
32,70.77411233,0.7498532691947734,0.7141803231181837,0.43265866683612414,0.12097117300000004,2.5252146860818545,1.8807779877448614,0.7007502015732539,0.47798367045878143,0.39396797667472655,0.6060320219238822
33,36.87862221,0.7806537030755637,0.7480647481979513,0.47360334347309413,0.152418318,2.799416228893742,1.9174750517921195,0.7856107426162386,0.47352343966321614,0.38907693888787803,0.6109230597616641
34,78.12089996,0.7538970345605966,0.7135669123625238,0.4554420584057869,0.149672423,2.6727037600037824,2.501920137626712,0.8001272842713718,0.5154708830185656,0.3839655366578338,0.6160344625448492
35,90.32501245,0.7649400020756513,0.7291389788448566,0.4798260218300692,0.15057556300000002,2.8448674551012054,1.7650116473976734,0.7581169290567058,0.5781182948340614,0.3783099383052803,0.6216900594253726
36,59.18107363,0.8151588843198627,0.7853261983395539,0.5127501967474539,0.20623143599999993,3.10467071763031,2.4776925959167984,0.9383840482491659,0.5346219693976679,0.38533142436389073,0.6146685747435721
37,53.99643758,0.34218087848317136,0.31552193535924705,0.18898085371432846,-0.131322581,1.466033026396347,1.0901826685010623,0.25887818749698677,0.53087474783718,0.3846294660212304,0.6153705259020754
