New_Tree_ID,AGB,ave_a_NDVI,ave_a_ND800_680,ave_a_mND_705,ave_a_DD,ave_a_mSR_705,ave_a_DATT,ave_a_Chl_Rred_edge,ave_a_TBI_13,ave_a_TBI_24,ave_a_TBI_25
1,78.38676803,0.76683807290842,0.7144518873768413,0.4768124979592234,0.03851778800000001,2.822721281286878,13.459250087195903,0.9496101183784538,0.8359555991123712,0.34013219190818117,0.6598678067623813
2,109.9667645,0.8083474344336586,0.7623535082963114,0.5216185404760884,0.04662111000000001,3.18076402862448,13.601268035398752,1.0725701448857805,0.8210462589541759,0.3468857589852483,0.653114239471456
3,124.2417737,0.8346079461746895,0.8022171192292669,0.5516387282202533,0.057492453,3.4606885650420467,10.432520927140944,1.1244837718080989,1.1395603819399638,0.30886715527969966,0.6911328432667027
4,102.7364149,0.807323275044395,0.7644591835188507,0.5318558886569789,0.050481320999999996,3.2721887330745454,13.355759103214622,1.1021660392964567,0.9596622474543128,0.32770894175492676,0.6722910569280882
5,115.1925426,0.7821857438440855,0.7333198848977592,0.5080433170770912,0.04708367400000001,3.0653985758279814,12.847308708657957,1.031045315636982,1.0046777026236138,0.3221647051501478,0.677835293453893
6,105.6228538,0.8533737641120311,0.8125464797669533,0.565612858372449,0.045464026,3.6041878442793567,16.64744187041017,1.2250480663946202,0.7692844448816437,0.34714901387321984,0.6528509844414538
7,101.2935124,0.8282157092974072,0.7925506998576168,0.5633712187022548,0.058016542,3.580550077162489,11.994414197901305,1.1931705607340057,1.0225629549372033,0.3215490608795194,0.6784509377056335
8,122.4516333,0.8516761853438781,0.8172579738072494,0.5639214584028327,0.06012173899999998,3.5863297712813136,11.104011121417663,1.1828603841529808,1.1079275552934893,0.3132511503240828,0.6867488483490376
9,80.51530395,0.8251616200685776,0.783467590662849,0.5391106067463228,0.05204801899999998,3.3394359410782757,12.89502500939434,1.1211325391250067,0.8848134342295999,0.340615228928705,0.6593847696709134
10,68.26173975,0.8301156533773865,0.7849412930515206,0.5272832824378126,0.043655796,3.2308636937186193,13.808746912235947,1.0783453704917854,0.9060276829005515,0.33015635114831166,0.6698436475233485
11,107.1107536,0.832676291197417,0.7957234040165999,0.5431719256481566,0.05438916499999999,3.3780146411330927,11.477506700855562,1.1120092780973718,1.0093646835775145,0.3216379138976125,0.6783620846582449
12,98.23680826,0.8249694007185386,0.7859795517922776,0.5324075713548152,0.05434832399999999,3.2772292185060556,10.935863690083691,1.0790693686571906,1.0686923027417374,0.3136852522979503,0.68631474626004
13,79.80092627,0.8051506835710931,0.7524324612495139,0.5132011300274442,0.039904205,3.108472967109089,16.672615891019657,1.0386007047560004,0.7105141239724488,0.3594445734215241,0.640555425088206
14,82.35359615,0.834012724881226,0.7929316565951836,0.5463574833877041,0.05241248900000001,3.4087578316557745,12.713377834520639,1.124142165923839,0.9221239876732448,0.3302456186190971,0.6697543801737822
15,52.4528406,0.805485771187318,0.7620094613461037,0.5041940416018336,0.04411062799999999,3.0338361495323665,11.221882818174045,0.9860999278795666,0.8732370840529087,0.34021924761490013,0.6597807511361992
16,67.40703717,0.8398203140917258,0.7944555764456569,0.537898072356531,0.04098239600000002,3.32804945787144,16.265512591862105,1.1420724760025052,0.6535337646533643,0.3719151492290318,0.6280848491673625
17,89.7667815,0.8408743824236352,0.802243610348747,0.5475773646770153,0.05278250799999999,3.4206453031602266,12.65193438995548,1.1319327679610822,0.9438223470893027,0.3295359817667871,0.6704640168661529
18,87.24396389,0.812928496121352,0.7656541588729348,0.5216815757366886,0.04256460999999999,3.1813149907598253,14.95529510178801,1.0707556322221863,1.0918373874090688,0.3119199489283687,0.6880800497343388
19,107.244443,0.8295318244040725,0.7828186884466811,0.5293713120432011,0.04405561400000001,3.249634688325628,15.632266280233814,1.1096450763214114,0.7825008264498087,0.3429934556293831,0.6570065429122754
