New_Tree_ID,AGB,sun_b_NDVI,sun_b_ND800_680,sun_b_mND_705,sun_b_DD,sun_b_mSR_705,sun_b_DATT,sun_b_Chl_Rred_edge,sun_b_TBI_13,sun_b_TBI_24,sun_b_TBI_25
1,78.38676803,0.8163843498438127,0.7828937159856763,0.5621809828921565,0.072160885,3.5680975928159664,12.69772185952236,1.206063216368515,1.9097770721818026,0.2419779753077121,0.7580220217661892
2,109.9667645,0.856501077957807,0.8295707149556275,0.5969470979597169,0.08480666399999999,3.962127770198117,11.3783072290625,1.3404845364812874,1.3278154949862064,0.28177715851767615,0.7182228379992818
3,124.2417737,0.8822517733898729,0.8576456449732844,0.6141823614596165,0.079214324,4.183796171939616,10.837141170829863,1.4207702543127954,1.3608526153674025,0.23967025434560363,0.7603297357947136
4,102.7364149,0.8445491271414167,0.8142925428576872,0.592837072961064,0.08216277400000002,3.9120385605081354,12.14977162144978,1.3510781414059876,0.9289614163846244,0.32006446378658293,0.6799355335121277
5,115.1925426,0.8453609106106199,0.8240816045458208,0.6226038841010283,0.101297248,4.29947159981934,10.898707160196377,1.4313471901964818,-24.595659345665517,-0.28081152047288727,1.2808115084453227
6,105.6228538,0.8494719179220331,0.8218546736683576,0.6107341714248489,0.09132194399999999,4.137877129737902,11.968074202569815,1.4109598224352387,1.9553919201244916,0.2316976119625367,0.7683023848958944
7,101.2935124,0.8761992986673626,0.8556829963096813,0.6527202263105886,0.10712094,4.759045442265822,10.435661334983829,1.5812109606556555,-20.662047799907437,-0.23455723277896878,1.2345572256081774
8,122.4516333,0.8958685141454101,0.8799678576326475,0.6493018595296676,0.10907319300000001,4.702910187286777,9.703020561350064,1.5346837603171037,-6.882542037988754,-0.30958242530095836,1.309582416285359
9,80.51530395,0.8908180621025384,0.8765606383256428,0.6574228321798246,0.10440729600000001,4.838100683905619,10.365265048623993,1.6188511466170126,-1.8190444621490927,3.3276750666035273,-2.327675017346909
10,68.26173975,0.8304070454318968,0.7984827206291023,0.5763331666537989,0.07145680700000001,3.7206905061716644,13.581565550846864,1.2799715437346255,2.2056189932252592,0.20128954461611623,0.7987104528318956
11,107.1107536,0.8639646630935269,0.8431214091702827,0.6152205799173802,0.09538630399999998,4.197783181005997,10.220219275033186,1.39439260459659,6.2435382993184705,0.04026191611897295,0.95973807867415
12,98.23680826,0.8713082712898841,0.8536378002337587,0.6160188167224647,0.09701016100000001,4.208588559097941,9.753224398695396,1.3880944783844336,74.06663649495164,-0.179290464804953,1.1792904557214818
13,79.80092627,0.8453916173964625,0.8185264816494683,0.5934329729350301,0.07341557900000001,3.919238070530147,14.32459256388419,1.3428558394491446,3.7346814483535558,0.13958049204308673,0.8604195040910698
14,82.35359615,0.8659254225537176,0.8396326412531986,0.5949671634050038,0.08092201099999999,3.9378712471303405,11.636018954036437,1.3764152766304796,1.152740090980706,0.28497168487558516,0.7150283125878162
15,52.4528406,0.857905907781193,0.8334121684074994,0.5865652757858083,0.073917837,3.8375230255052806,11.306547802472764,1.3367979875023748,1.3275786480564546,0.22886688279725667,0.7711331107008415
16,67.40703717,0.87438431768282,0.854972803824509,0.6336516906643923,0.09362863400000002,4.459285458157395,12.23696865692076,1.4998687887458786,3.669757317481119,0.1626258541278301,0.8373741412141557
17,89.7667815,0.8685672139787856,0.8423690088855106,0.6077021238787264,0.086883946,4.098166775058904,12.144982258146007,1.385671086368657,2.346181945162644,0.20422170926065009,0.7957782872815394
18,87.24396389,0.8559273844563592,0.8217919775636496,0.577531493035615,0.058953327,3.734080681962446,15.464909374257436,1.2873070204624382,1.8865372970844965,0.2239202633883308,0.776079734438729
19,107.244443,0.875979830058991,0.8464628913976259,0.5968051536448943,0.067702409,3.9603808571660712,14.562301995722704,1.4076143195571134,0.952518868958233,0.32306842467592384,0.6769315725150588
20,81.61584885,0.8434158483305786,0.8138985986189095,0.5921127460747267,0.081745676,3.903315753877857,14.223366356072006,1.3619005239478863,1.6307281984374062,0.2641913482109967,0.7358086488846893
21,94.56072651,0.870356673847688,0.8450681240698003,0.5944091176593261,0.07609298,3.9310773119738824,12.24435026831388,1.3931166714884902,2.751052601368655,0.12317390848089384,0.8768260846706134
22,139.2774604,0.879180066088631,0.8618835206627037,0.6714603270521536,0.11838132900000001,5.08754486130987,11.872474657955788,1.7135605567006653,-3.3172852627098592,-1.722109024200105,2.7221090020384535
23,43.16346906,0.8871453048757953,0.8550156774246982,0.6221005056478139,0.07484768,4.292412472901031,15.511275139112483,1.4846942669323764,0.8175643945077357,0.34770011028972186,0.6522998868738491
24,89.51356569,0.8639260225358293,0.8377592381347589,0.5855156920088357,0.08120596200000002,3.8252731395633486,11.598079720501168,1.3183181102279269,1.641046195816237,0.24305492909987653,0.7569450678197199
25,94.58074054,0.8753639317298362,0.8483132414911807,0.6107539494173456,0.07173235900000001,4.138138189205737,13.797192501658152,1.439413734120468,1.6692145685579305,0.2383263155336648,0.7616736815941174
